title,author,price,pages,avg_reviews,n_reviews,dimensions,weight,language
Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning,"[Alex J. Gutman,Jordan Goldmeier]",24.49,272,4.6,184,6 x 0.62 x 9 inches,12.5 ounces,English
Ace the Data Science Interview: 201 Real Interview Questions Asked FAANG Tech Startups & Wall Street,"[Nick Singh,Kevin Huo]",26,301,4.5,599,7 x 0.68 x 10 inches,1.28 pounds,English
Fundamentals of Data Engineering: Plan and Build Robust Data Systems,"[Joe Reis,Matt Housley]",50.76,446,5,33,7 x 1 x 9.25 inches,1.57 pounds,English
Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics,[Thomas Nield],44.8,347,4.5,27,7 x 0.75 x 9 inches,1.23 pounds,English
Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking,"[Foster Provost,Tom Fawcett]",36.99,413,4.5,970,7 x 0.9 x 9.19 inches,1.5 pounds,English
Data Science from Scratch: First Principles with Python,[Joel Grus],45.22,406,4.4,594,6.9 x 0.9 x 9.1 inches,1.4 pounds,English
Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python,"[Peter Bruce,Andrew Bruce et al.]",24.88,368,4.6,655,7 x 0.9 x 9.1 inches,1.3 pounds,English
Python for Data Science: A Hands-On Introduction,[Yuli Vasiliev],28.49,240,4.3,6,7 x 0.71 x 9.25 inches,13 ounces,English
Practical Linear Algebra for Data Science: From Core Concepts to Applications Using Python,[Mike Cohen],69.99,328,,0,7 x 0.69 x 9.19 inches,1.15 pounds,English
Data Science (The MIT Press Essential Knowledge series),,9.61,280,4.5,383,5 x 0.57 x 6.9 inches,8.8 ounces,English
Data Science For Dummies (For Dummies (Computer/Tech)),[Lillian Pierson],25.49,432,4.6,35,7.3 x 1 x 9.1 inches,1.35 pounds,English
Azure Data Engineer Associate Certification Guide: A hands-on reference guide to developing your data engineering skills and preparing for the DP-203 exam,[Newton Alex],49.99,574,4.1,16,7.5 x 1.3 x 9.25 inches,2.15 pounds,English
Data Pipelines with Apache Airflow,"[Bas P. Harenslak,Julian Rutger de Ruiter]",47.62,480,4.7,44,7.38 x 1.4 x 9.25 inches,1.9 pounds,English
Practical Data Science with Python: Learn tools and techniques from hands-on examples to extract insights from data,[Nathan George],51.99,620,4.7,21,7.5 x 1.4 x 9.25 inches,2.31 pounds,English
Data Science on AWS: Implementing End-to-End Continuous AI and Machine Learning Pipelines,"[Chris Fregly,Antje Barth]",31.99,521,4.4,135,7 x 1.05 x 9.19 inches,1.82 pounds,English
Data Analysis for Business Economics and Policy,"[GÃ¡bor BÃ©kÃ©s,GÃ¡bor KÃ©zdi]",61.74,738,4.4,26,7.5 x 1.74 x 9.25 inches,3.51 pounds,English
Machine Learning Design Interview: Machine Learning System Design Interview,[Khang Pham],34.15,210,3.6,57,6 x 0.48 x 9 inches,11.8 ounces,English
Hands-On Data Analysis with Pandas: A Python data science handbook for data collection wrangling analysis and visualization 2nd Edition,"[Stefanie Molin,Ken Jee]",35.67,788,4.3,64,7.5 x 1.78 x 9.25 inches,2.93 pounds,English
Business Data Science: Combining Machine Learning and Economics to Optimize Automate and Accelerate Business Decisions,[Matt Taddy],33.43,352,4.5,143,1.19 x 7.38 x 9.25 inches,1.62 pounds,English
The Art of Statistics: How to Learn from Data,[David Spiegelhalter],17.99,448,4.6,2764,5.4 x 1.3 x 8.2 inches,13.6 ounces,English
Cleaning Data for Effective Data Science: Doing the other 80% of the work with Python R and command-line tools,[David Mertz],39.99,498,4.8,27,7.5 x 1.13 x 9.25 inches,1.85 pounds,English
Everything Data Analytics-A Beginners Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights (Guides for Data Analytics Data Visualization and Communicating Data),,14.49,148,4.2,17,5.5 x 0.37 x 8.5 inches,8.8 ounces,English
Effective Data Science Infrastructure: How to make data scientists productive,[Ville Tuulos],49.99,352,5,5,7.38 x 0.8 x 9.25 inches,1.15 pounds,English
Python Data Science Handbook: Essential Tools for Working with Data,[Jake VanderPlas],66.49,550,,0,,1.11 pounds,English
The Enterprise Big Data Lake: Delivering the Promise of Big Data and Data Science,[Alex Gorelik],40.1,224,4.3,71,7 x 0.4 x 9.1 inches,11.2 ounces,English
Data-Driven Science and Engineering: Machine Learning Dynamical Systems and Control,"[Steven L. Brunton,J. Nathan Kutz]",58.49,614,4.6,14,7.1 x 1.1 x 10.1 inches,3.1 pounds,English
Hands-On Data Science for Marketing: Improve your marketing strategies with machine learning using Python and R,[Yoon Hyup Hwang],44.99,464,4.3,63,7.5 x 1.05 x 9.25 inches,1.74 pounds,English
Be Data Driven: How Organizations Can Harness the Power of Data,[Jordan Morrow],34.99,240,5,1,6.14 x 0.55 x 9.21 inches,12 ounces,English
Data Science Projects with Python: A case study approach to gaining valuable insights from real data with machine learning 2nd Edition,[Stephen Klosterman],36.99,432,4.6,52,7.5 x 0.98 x 9.25 inches,1.63 pounds,English
The Kaggle Book: Data analysis and machine learning for competitive data science,"[Konrad Banachewicz,Luca Massaron et al.]",39.94,530,4.6,68,7.5 x 1.2 x 9.25 inches,1.98 pounds,English
Think Like a Data Scientist: Tackle the data science process step--step,[Brian Godsey],29.59,328,4.5,31,7.38 x 0.7 x 9.25 inches,1.47 pounds,English
Designing Data-Intensive Applications: The Big Ideas Behind Reliable Scalable and Maintainable Systems,[Martin Kleppmann],23.37,611,4.8,3167,7.01 x 1.24 x 9.17 inches,2.15 pounds,English
Data Smart: Using Data Science to Transform Information into Insight,[John W. Foreman],21.1,432,4.5,346,7.3 x 0.8 x 9.1 inches,1.6 pounds,English
Python for Data Analysis: Data Wrangling with pandas NumPy and Jupyter,[Wes McKinney],62.99,579,5,1,9.1 x 1.2 x 6.9 inches,2.07 pounds,English
Modern Data Science with R (Chapman & Hall/CRC Texts in Statistical Science),,72.59,632,3.9,9,7.25 x 1.5 x 10.25 inches,3.31 pounds,English
Machine Learning: 4 Books in 1: The #1 Beginners Guide to Master the Basics of Python Programming Learn the Art of Data Science and Build Artificial Intelligence,[Andrew Park],25.97,342,4.6,344,6 x 0.78 x 9 inches,1.29 pounds,English
Building Big Data Pipelines with Apache Beam: Use a single programming model for both batch and stream data processing,[Jan Lukavsky],46.99,342,3.9,11,7.5 x 0.78 x 9.25 inches,1.3 pounds,English
Algorithmic Finance: A Companion To Data Science,[Christopher Hian-ann Ting],116.85,408,,0,6 x 1.15 x 9 inches,1.58 pounds,English
Naked Statistics: Stripping the Dread from the Data,,11.69,304,4.6,2271,5.5 x 0.8 x 8.2 inches,7.1 ounces,English
Bayesian Ideas and Data Analysis: An Introduction for Scientists and Statisticians (Chapman & Hall/CRC Texts in Statistical Science),,64.1,516,4,14,6.9 x 1.1 x 10 inches,2.35 pounds,English
Julia Data Science,"[Jose Storopoli,Rik Huijzer et al.]",31.99,170,4.5,9,7 x 0.4 x 10 inches,13.9 ounces,English
Listening to People: A Practical Guide to Interviewing Participant Observation Data Analysis and Writing It All Up (Chicago Guides to Writing Editing and Publishing),,19,333,4.5,33,6 x 0.9 x 9 inches,1.01 pounds,English
Doing Data Science: Straight Talk from the Frontline,"[""Cathy ONeil"",Rachel Schutt]",26.3,408,4.3,172,6 x 0.78 x 9 inches,1.2 pounds,English
Microsoft Power BI Quick Start Guide: Bring your data to life through data modeling visualization digital storytelling and more 2nd Edition,"[Devin Knight,Mitchell Pearson et al.]",28.49,294,4.3,142,7.5 x 0.67 x 9.25 inches,1.12 pounds,English
R in Action Third Edition: Data analysis and graphics with R and Tidyverse,[Robert I. Kabacoff],56.99,656,4.6,8,7.38 x 1.5 x 9.25 inches,2.15 pounds,English
Data Science Ethics: Concepts Techniques and Cautionary Tales,[David Martens],37.2,272,5,2,9.4 x 0.6 x 6.2 inches,15.5 ounces,English
Data Science and Machine Learning: Mathematical and Statistical Methods (Chapman & Hall/CRC Machine Learning & Pattern Recognition),,77.43,510,4.8,37,8.9 x 1.2 x 11 inches,3.73 pounds,English
