Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Rating
416-17-9926,A,Yangon,Member,Female,Electronic accessories,74.22,10,37.11,779.31,01/01/2019,14:42,Credit card,4.3
556-97-7101,C,Naypyitaw,Normal,Female,Electronic accessories,63.22,2,6.322,132.762,01/01/2019,15:51,Cash,8.5
891-01-7034,B,Mandalay,Normal,Female,Electronic accessories,74.71,6,22.413,470.673,01/01/2019,19:07,Cash,6.7
651-88-7328,A,Yangon,Normal,Female,Fashion accessories,65.74,9,29.583,621.243,01/01/2019,13:55,Cash,7.7
746-04-1077,B,Mandalay,Member,Female,Food and beverages,84.63,10,42.315,888.615,01/01/2019,11:36,Credit card,9
770-42-8960,B,Mandalay,Normal,Male,Food and beverages,21.12,8,8.448,177.408,01/01/2019,19:31,Cash,6.3
133-14-7229,C,Naypyitaw,Normal,Male,Health and beauty,62.87,2,6.287,132.027,01/01/2019,11:43,Cash,5
530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59,8,19.036,399.756,01/01/2019,14:47,Cash,5.7
182-52-7000,A,Yangon,Member,Female,Sports and travel,27.04,4,5.408,113.568,01/01/2019,20:26,Ewallet,6.9
271-77-8740,C,Naypyitaw,Member,Female,Sports and travel,29.22,6,8.766,184.086,01/01/2019,11:40,Ewallet,5
493-65-6248,C,Naypyitaw,Member,Female,Sports and travel,36.98,10,18.49,388.29,01/01/2019,19:48,Credit card,7
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,01/01/2019,10:39,Credit card,6.9
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,02/01/2019,11:27,Cash,4.9
358-88-9262,C,Naypyitaw,Member,Female,Food and beverages,87.48,6,26.244,551.124,02/01/2019,18:43,Ewallet,5.1
870-76-1733,A,Yangon,Member,Female,Food and beverages,14.23,5,3.5575,74.7075,02/01/2019,10:08,Credit card,4.4
443-82-0585,A,Yangon,Member,Female,Health and beauty,77.68,4,15.536,326.256,02/01/2019,19:54,Cash,8.4
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,02/01/2019,20:31,Credit card,9.5
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,24.332,510.972,02/01/2019,15:10,Credit card,8.5
453-63-6187,B,Mandalay,Normal,Male,Electronic accessories,27.5,3,4.125,86.625,03/01/2019,15:40,Ewallet,6.5
811-03-8790,A,Yangon,Normal,Female,Electronic accessories,45.48,10,22.74,477.54,03/01/2019,10:22,Credit card,4.8
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,03/01/2019,13:22,Cash,7.2
247-11-2470,A,Yangon,Member,Female,Fashion accessories,22.32,4,4.464,93.744,03/01/2019,16:23,Credit card,4.4
339-96-8318,B,Mandalay,Member,Male,Fashion accessories,81.31,7,28.4585,597.6285,03/01/2019,19:49,Ewallet,6.3
153-58-4872,C,Naypyitaw,Member,Female,Food and beverages,74.89,4,14.978,314.538,03/01/2019,15:32,Ewallet,4.2
238-45-6950,B,Mandalay,Member,Male,Food and beverages,53.72,1,2.686,56.406,03/01/2019,20:03,Ewallet,6.4
207-73-1363,B,Mandalay,Normal,Female,Health and beauty,69.51,2,6.951,145.971,03/01/2019,12:15,Ewallet,8.1
470-31-3286,B,Mandalay,Normal,Female,Health and beauty,14.82,3,2.223,46.683,03/01/2019,11:30,Credit card,8.7
220-28-1851,A,Yangon,Normal,Male,Home and lifestyle,34.73,2,3.473,72.933,03/01/2019,18:14,Ewallet,9.7
744-09-5786,B,Mandalay,Normal,Male,Electronic accessories,22.01,6,6.603,138.663,01/02/2019,18:50,Cash,7.6
198-84-7132,B,Mandalay,Member,Male,Fashion accessories,40.61,9,18.2745,383.7645,01/02/2019,13:40,Cash,7
446-47-6729,C,Naypyitaw,Normal,Male,Fashion accessories,99.82,2,9.982,209.622,01/02/2019,18:09,Credit card,6.7
712-39-0363,A,Yangon,Member,Male,Food and beverages,41.66,6,12.498,262.458,01/02/2019,15:24,Ewallet,5.6
244-08-0162,B,Mandalay,Normal,Female,Health and beauty,34.21,10,17.105,359.205,01/02/2019,13:00,Cash,5.1
345-68-9016,C,Naypyitaw,Member,Female,Sports and travel,31.67,8,12.668,266.028,01/02/2019,16:19,Credit card,5.6
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,01/02/2019,16:57,Cash,5.7
670-71-7306,B,Mandalay,Normal,Male,Sports and travel,44.63,6,13.389,281.169,01/02/2019,20:08,Credit card,5.1
201-86-2184,B,Mandalay,Member,Female,Electronic accessories,26.26,7,9.191,193.011,02/02/2019,19:40,Cash,9.9
717-96-4189,C,Naypyitaw,Normal,Female,Electronic accessories,35.49,6,10.647,223.587,02/02/2019,12:40,Cash,4.1
376-56-3573,C,Naypyitaw,Normal,Female,Fashion accessories,95.42,4,19.084,400.764,02/02/2019,13:23,Ewallet,6.4
405-31-3305,A,Yangon,Member,Female,Fashion accessories,43.13,10,21.565,452.865,02/02/2019,18:31,Credit card,5.5
418-05-0656,B,Mandalay,Normal,Female,Fashion accessories,25.56,7,8.946,187.866,02/02/2019,20:42,Cash,7.1
756-93-1854,C,Naypyitaw,Member,Female,Fashion accessories,83.35,2,8.335,175.035,02/02/2019,14:05,Credit card,9.5
390-17-5806,C,Naypyitaw,Member,Female,Food and beverages,38.42,1,1.921,40.341,02/02/2019,16:33,Cash,8.6
541-08-3113,C,Naypyitaw,Normal,Male,Food and beverages,65.97,8,26.388,554.148,02/02/2019,20:29,Cash,8.4
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,02/02/2019,20:48,Ewallet,6
845-51-0542,B,Mandalay,Member,Male,Food and beverages,46.55,9,20.9475,439.8975,02/02/2019,15:34,Ewallet,6.4
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,02/02/2019,18:50,Cash,4.3
376-02-8238,B,Mandalay,Normal,Male,Home and lifestyle,93.87,8,37.548,788.508,02/02/2019,18:42,Credit card,8.3
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,02/02/2019,10:11,Cash,6.3
420-18-8989,A,Yangon,Member,Female,Sports and travel,51.52,8,20.608,432.768,02/02/2019,15:47,Cash,9.6
