age,gender,height_cm,weight_kg,body_fat_percent,diastolic,systolic,grip_force,sit_and_bend_forward_cm,sit_ups_counts,broad_jump_cm,class
27,0,172.3,75.24,0.213,80,130,54.9,18.4,60,217,C
25,0,165,55.8,0.157,77,126,36.4,16.3,53,229,A
31,0,179.6,78,0.201,92,152,44.8,12,49,181,C
32,0,174.5,71.1,0.184,76,147,41.4,15.2,53,219,B
28,0,173.8,67.7,0.171,70,127,43.5,27.1,45,217,B
36,1,165.4,55.4,0.22,64,119,23.8,21,27,153,B
42,1,164.5,63.7,0.322,72,135,22.7,0.8,18,146,D
33,0,174.9,77.2,0.369,84,137,45.9,12.3,42,234,B
54,0,166.8,67.5,0.276,85,165,40.4,18.6,34,148,C
28,0,185,84.6,0.144,81,156,57.9,12.1,55,213,B
42,0,169.2,65.4,0.193,63,110,43.5,16,68,211,A
57,1,153,49,0.209,69,106,21.5,30,0,90,D
27,1,156,53.9,0.355,69,116,23.1,13.1,28,144,C
22,0,175.7,67.9,0.113,71,103,52.5,19.2,55,232,C
24,0,181,84.4,0.204,80,120,48.9,7.2,54,213,C
45,1,159,63.1,0.309,93,144,34.1,19,30,155,A
25,1,164.2,66.6,0.302,82,120,25.7,22.9,39,178,C
26,0,179.9,71.5,0.097,64,135,59.6,17.8,61,239,A
26,0,169.2,70.6,0.21,63,129,41.3,15.1,53,225,B
21,1,162.7,47.2,0.189,78,133,25.4,20.5,36,137,B
25,1,161.7,63.36,0.313,89,128,25,10.7,39,160,C
59,1,155.9,62.7,0.302,76,143,36.8,29.1,25,122,A
38,0,166.7,67.3,0.232,70,111,26.1,19.7,62,215,D
44,0,170,63.3,0.129,65,115,44.5,11.6,49,196,B
23,1,164.1,59.4,0.296,91,126,24.6,27.5,32,169,C
62,0,169,70.7,0.305,96,146,39.3,4,43,131,C
47,1,158.3,53.5,0.292,70,117,25.9,8.1,32,151,D
48,0,175.8,84.5,0.314,83,125,33.8,3.7,24,211,D
36,0,176,81.3,0.245,81,139,46.2,8.1,54,232,C
50,1,159.8,57.1,0.244,63,103,30.8,24.4,30,143,A
25,0,170.9,70.7,0.157,80,127,36.4,26.4,38,246,C
26,0,176.7,77.2,0.163,66,129,50,9.1,51,223,C
28,1,159.5,51.54,0.245,82,123,37.2,23,37,145,A
30,0,172.1,79.5,0.267,91,148,34.7,-2,40,192,D
49,1,151.5,52,0.276,77,144,23.8,21.3,39,154,B
40,0,177.6,88.6,0.203,93,138,51.5,12.1,54,224,C
21,0,172.5,66.4,0.125,82,130,51.2,6.3,46,178,D
31,0,177.5,79.5,0.23,90,148,51.2,18.4,62,208,A
32,0,178,84.5,0.212,68,130,52.3,16.2,62,232,A
27,0,177.6,79.7,0.228,59,108,48,1.8,59,219,D
42,0,168,61,0.149,94,151,28.9,1,32,230,D
52,0,173.6,84.9,0.303,93,144,42,9,43,185,D
39,0,173.3,69.8,0.238,76,137,40,18.2,38,227,C
33,1,159.6,60.5,0.321,62,106,21.9,22.2,24,129,C
25,1,161.8,57.7,0.217,74,115,29.3,26.6,50,190,A
31,0,169.9,73.1,0.192,97,145,45,14.5,37,249,D
34,0,183.6,76.82,0.163,80,120,46.3,14.2,55,220,B
26,0,172.1,66.1,0.249,62,102,19.9,-9.9,44,159,D
28,0,180.1,82.1,0.15,83,147,52.6,18.8,55,247,A
58,0,164.2,64,0.198,93,150,36.8,18.3,38,205,B
48,0,169.8,75.4,0.147,94,149,51.4,24.7,55,246,A
23,0,180.1,65.9,0.144,72,130,45.4,18.1,56,234,A
38,1,157.2,51.7,0.273,64,106,25.1,14.7,19,139,C
43,1,168.3,69.3,0.319,88,139,32.1,20.2,33,164,B
