danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,class
0.733,0.87,6,-1.842,0,0.041,0.104,0,0.189,0.482,126.995,199416,edm
0.634,0.856,9,-2.893,0,0.184,0.00131,0.145,0.177,0.273,128.024,277515,edm
0.5,0.708,10,-5.935,0,0.276,0.0404,0,0.109,0.463,78.002,296027,rap
0.705,0.949,10,-3.575,1,0.0454,0.0128,0.6,0.27,0.274,128.011,232500,edm
0.818,0.785,1,-6.819,1,0.0753,0.117,9.10E-04,0.0984,0.571,129.957,287413,latin
0.552,0.565,0,-11.78,1,0.0354,0.0785,1.37E-05,0.146,0.755,133.535,229973,rock
0.798,0.735,9,-6.718,1,0.0724,0.00534,3.26E-06,0.118,0.0465,119.978,211500,rap
0.627,0.732,6,-9.279,0,0.0306,0.00225,0.0105,0.0863,0.744,122.006,193783,pop
0.617,0.567,0,-4.188,1,0.0828,0.0584,0,0.0933,0.505,90.246,217603,pop
0.524,0.907,1,-3.828,1,0.396,0.198,0,0.509,0.538,66.439,210347,rap
0.899,0.705,8,-7.103,0,0.234,0.0319,0.24,0.126,0.774,102.238,208507,rap
0.647,0.822,5,-4.662,0,0.183,0.219,0,0.0908,0.962,160.019,232720,edm
0.716,0.949,4,-3.592,0,0.0762,0.00389,0.00455,0.373,0.71,110.013,182182,rap
0.826,0.449,5,-8.33,0,0.0674,0.556,1.85E-05,0.273,0.337,128.028,236216,rap
0.81,0.826,0,-6.18,1,0.0519,0.0211,0.755,0.0682,0.731,119.998,253000,edm
0.653,0.686,1,-10.433,1,0.274,0.255,0.774,0.118,0.946,85.045,121940,latin
0.465,0.96,6,-3.888,1,0.0792,2.30E-04,0,0.129,0.43,132.014,255773,rock
0.77,0.956,1,-2.794,0,0.236,1.77E-04,0.739,0.421,0.682,124.978,203811,edm
0.775,0.608,6,-8.763,1,0.0619,0.0066,0.491,0.14,0.695,120.033,184000,edm
0.774,0.603,9,-7.367,0,0.0711,0.168,0,0.288,0.646,89.998,162867,r&b
0.528,0.619,2,-6.959,1,0.0282,0.0029,0,0.291,0.0845,102.951,235267,pop
0.695,0.827,2,-3.13,1,0.0379,0.0724,0,0.0927,0.681,119.957,195000,edm
0.787,0.705,0,-7.582,1,0.0695,0.137,1.06E-06,0.108,0.499,81.998,188654,latin
0.809,0.798,11,-5.587,0,0.0516,0.0353,0,0.154,0.943,149.803,302587,rap
0.414,0.946,11,-2.176,1,0.0921,0.00113,0,0.46,0.699,168.987,194507,rock
0.752,0.698,11,-6.53,1,0.306,0.52,0,0.211,0.347,132.058,159453,r&b
0.75,0.76,1,-4.836,1,0.198,0.187,0,0.0548,0.893,183.817,195213,latin
0.614,0.972,5,-3.927,0,0.088,0.00125,0.0186,0.328,0.411,127.966,170625,edm
0.622,0.831,2,-5.35,1,0.0371,0.0183,1.39E-06,0.0709,0.443,114.015,257947,pop
0.458,0.957,8,-3.82,1,0.0569,7.90E-05,0.879,0.363,0.325,97.919,344040,rock
0.451,0.962,0,-3.947,1,0.0734,0.0188,3.17E-06,0.277,0.377,131.435,323707,pop
0.647,0.792,10,-6.391,0,0.0504,0.16,0,0.0624,0.351,122.432,184705,pop
0.555,0.843,9,-5.265,0,0.057,7.54E-04,0.812,0.121,0.217,128.079,162187,edm
0.78,0.779,6,-3.369,0,0.0318,0.246,0,0.298,0.903,119.982,242343,latin
0.7,0.774,5,-4.983,0,0.0466,0.2,0,0.404,0.652,90,250707,r&b
0.717,0.741,10,-6.645,0,0.053,0.155,0,0.133,0.188,105.997,186062,pop
0.622,0.859,5,-7.626,1,0.0636,6.09E-04,0.746,0.0909,0.442,121.968,218373,pop
0.672,0.815,1,-6.476,0,0.0981,0.00246,0,0.577,0.341,115.033,226093,pop
0.361,0.97,7,-4.817,0,0.284,0.00169,0.00163,0.357,0.254,179.017,282920,rock
0.561,0.63,1,-12.924,1,0.0395,0.0205,0.00133,0.0695,0.682,100.646,277493,rock
0.593,0.896,5,-3.339,1,0.0619,0.0832,0.00245,0.245,0.336,127.956,222459,edm
0.778,0.95,3,-3.422,0,0.0907,0.0744,0.842,0.13,0.794,127.956,225020,edm
0.676,0.724,7,-5.974,0,0.0576,0.506,0,0.124,0.59,105.948,241685,pop
0.595,0.807,7,-2.409,1,0.0489,0.416,1.41E-05,0.565,0.919,188.081,194892,latin
0.49,0.951,11,-3.888,1,0.0966,0.00888,0.00126,0.376,0.628,158.075,224960,rock
0.667,0.874,10,-6.937,1,0.0441,0.0163,0.00246,0.322,0.865,111.871,333800,r&b
0.717,0.716,3,-5.485,0,0.0432,0.0421,4.67E-04,0.0699,0.206,125.064,161280,pop
0.787,0.682,4,-6.729,0,0.152,0.043,0,0.227,0.814,135.953,187059,rap
0.771,0.796,10,-4.106,0,0.0798,0.0385,9.35E-06,0.218,0.636,87.985,289907,latin
0.585,0.877,1,-6.339,0,0.0662,5.99E-05,0.159,0.497,0.1,128.015,165000,edm
0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960,pop
0.569,0.887,0,-8.972,1,0.0397,0.0896,0.431,0.345,0.738,120.949,299080,rock
0.689,0.463,2,-8.121,0,0.0365,0.066,1.52E-04,0.145,0.864,86.998,226006,r&b
0.289,0.238,0,-12.244,1,0.0326,0.0421,2.73E-05,0.109,0.187,81.264,282493,rock
0.607,0.74,4,-4.793,0,0.172,0.0829,0,0.105,0.219,108.05,189401,pop
0.732,0.463,11,-6.972,0,0.0287,0.374,0,0.194,0.397,95.971,212607,pop
0.581,0.407,7,-9.451,0,0.0379,0.643,1.49E-06,0.139,0.292,94.935,224842,r&b
0.729,0.989,9,-4.613,0,0.049,0.0102,4.45E-05,0.443,0.84,126.47,352906,rock
0.55,0.925,0,-4.573,1,0.0882,0.0352,1.79E-04,0.29,0.358,121.823,177320,latin
0.699,0.91,4,-4.405,0,0.036,0.217,2.66E-06,0.146,0.792,97.971,239920,latin
0.63,0.739,2,-4.266,1,0.0335,0.146,3.22E-05,0.116,0.761,128.028,165938,latin
0.241,0.445,8,-10.443,1,0.0386,0.694,0,0.0842,0.205,78.448,306533,r&b
0.742,0.804,7,-6.287,0,0.0573,0.0131,0.133,0.129,0.759,130.009,209107,pop
0.79,0.765,6,-6.642,0,0.188,0.278,0,0.0721,0.964,170.063,219481,latin
0.65,0.78,2,-6.713,1,0.0351,0.002,1.18E-06,0.294,0.809,117.023,225400,rock
0.717,0.929,10,-4.956,1,0.053,0.233,0,0.359,0.586,94.995,216320,latin
0.424,0.632,9,-7.243,1,0.0922,0.021,0.0117,0.0545,0.356,97.694,254533,rock
0.759,0.925,1,-5.383,0,0.0888,0.00155,0.00101,0.295,0.653,123.986,144762,pop
0.732,0.762,10,-7.234,0,0.0369,0.135,0.00859,0.14,0.538,107.014,165419,edm
0.701,0.697,10,-12.643,0,0.0912,8.88E-04,0.485,0.301,0.617,108.554,256427,r&b
0.327,0.938,0,-3.237,1,0.0645,0.0708,3.79E-06,0.148,0.326,162.937,289560,rock
0.48,0.582,6,-5.169,1,0.0254,0.124,7.63E-04,0.0876,0.219,79.986,260467,pop
0.676,0.771,8,-3.675,1,0.0483,0.0237,7.00E-06,0.102,0.569,99.048,207133,edm
0.97,0.463,10,-7.259,1,0.366,0.0957,0,0.151,0.46,108.003,142417,rap
0.631,0.466,1,-7.916,0,0.0463,0.482,0,0.213,0.321,135.817,181291,pop
0.63,0.739,2,-4.266,1,0.0335,0.146,3.22E-05,0.116,0.761,128.028,165938,pop
0.391,0.692,1,-6.543,0,0.0462,0.0946,1.58E-05,0.191,0.56,180.008,246587,r&b
0.705,0.949,10,-3.575,1,0.0454,0.0128,0.6,0.27,0.274,128.011,232500,edm
0.964,0.73,6,-6.778,1,0.206,0.153,0.809,0.101,0.259,125.028,188170,edm
